Exception 
         479298 function calls (455231 primitive calls) in 1.364 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.000    0.000 _models.py:231(multi_items)
        6    0.000    0.000    0.000    0.000 _models.py:1270(info)
        3    0.000    0.000    0.756    0.252 sync.py:144(start_tls)
      148    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
        1    0.000    0.000    0.001    0.001 _urlparse.py:1(<module>)
      863    0.000    0.000    0.000    0.000 typing.py:1246(<genexpr>)
       18    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
      199    0.000    0.000    0.000    0.000 css_types.py:360(__init__)
      285    0.000    0.000    0.000    0.000 css_parser.py:344(match)
        9    0.000    0.000    0.000    0.000 _models.py:281(origin)
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
      276    0.000    0.000    0.000    0.000 {method 'isprintable' of 'str' objects}
        3    0.000    0.000    0.000    0.000 _events.py:82(__init__)
      267    0.000    0.000    0.051    0.000 __init__.py:226(compile)
        3    0.000    0.000    0.000    0.000 _events.py:137(__init__)
      115    0.000    0.000    0.000    0.000 {method 'groupdict' of 're.Match' objects}
        8    0.000    0.000    0.000    0.000 _models.py:202(keys)
       85    0.000    0.000    0.000    0.000 __init__.py:953(_popToTag)
      390    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
      124    0.000    0.000    0.000    0.000 __init__.py:735(string_container)
      470    0.000    0.000    0.000    0.000 typing.py:1565(__eq__)
       20    0.000    0.000    0.001    0.000 dataclasses.py:568(_init_fn)
       88    0.000    0.000    0.000    0.000 __init__.py:812(pushTag)
      281    0.000    0.000    0.000    0.000 types.py:192(__init__)
        4    0.000    0.000    0.001    0.000 _models.py:884(iter_bytes)
      294    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      209    0.000    0.000    0.000    0.000 typing.py:2310(get_origin)
        3    0.000    0.000    0.316    0.105 sync.py:124(read)
      322    0.000    0.000    0.000    0.000 css_parser.py:248(css_unescape)
      296    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
      296    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      309    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      294    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      754    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      453    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
     1272    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        3    0.000    0.000    0.000    0.000 {function socket.close at 0x100b6c2c0}
       45    0.000    0.000    0.000    0.000 contextlib.py:299(helper)
      356    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      953    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        1    0.000    0.000    0.029    0.029 dammit.py:1(<module>)
       27    0.000    0.000    0.000    0.000 _connection.py:320(_get_io_object)
       75    0.000    0.000    0.000    0.000 css_parser.py:542(parse_tag_pattern)
        5    0.000    0.000    0.000    0.000 cookiejar.py:647(request_path)
        8    0.000    0.000    0.000    0.000 inspect.py:2366(_signature_from_function)
        3    0.000    0.000    0.000    0.000 {method '_set_alpn_protocols' of '_ssl._SSLContext' objects}
       74    0.000    0.000    0.000    0.000 typing.py:262(_collect_parameters)
       16    0.000    0.000    0.000    0.000 _state.py:316(_fire_state_triggered_transitions)
      198    0.000    0.000    0.000    0.000 {method 'lower' of 'bytes' objects}
        3    0.000    0.000    0.000    0.000 cookiejar.py:1599(make_cookies)
        1    0.000    0.000    0.000    0.000 filter.py:130(filter)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
      294    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
        3    0.000    0.000    0.092    0.031 socket.py:810(create_connection)
      292    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      146    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        7    0.000    0.000    0.000    0.000 cookiejar.py:1096(return_ok)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
       16    0.000    0.000    0.000    0.000 typing.py:1971(<genexpr>)
       26    0.000    0.000    0.000    0.000 <frozen abc>:146(update_abstractmethods)
        3    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
      195    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
        3    0.000    0.000    0.001    0.000 connection_pool.py:409(close)
      448    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
       26    0.000    0.000    0.001    0.000 dataclasses.py:1240(dataclass)
  142/105    0.000    0.000    0.003    0.000 typing.py:508(__getitem__)
