Exception 
         477663 function calls (453212 primitive calls) in 6.674 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      277    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
        4    0.000    0.000    0.002    0.000 cookiejar.py:1356(add_cookie_header)
        3    0.000    0.000    0.000    0.000 client.py:261(__init__)
        3    0.000    0.000    0.001    0.000 _collections.py:240(__init__)
        3    0.000    0.000    0.002    0.001 parser.py:56(parsestr)
       25    0.000    0.000    0.000    0.000 queue.py:154(get)
       68    0.000    0.000    0.000    0.000 cookies.py:49(get_full_url)
      166    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        3    0.000    0.000    0.000    0.000 poolmanager.py:95(_default_key_normalizer)
      322    0.000    0.000    0.000    0.000 css_parser.py:248(css_unescape)
        3    0.000    0.000    0.059    0.020 utils.py:1(<module>)
        4    0.000    0.000    0.352    0.088 socket.py:693(readinto)
       73    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
       23    0.000    0.000    0.000    0.000 parse.py:855(quote)
      220    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
      186    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       72    0.000    0.000    0.000    0.000 cookiejar.py:535(is_HDN)
      165    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
       35    0.000    0.000    0.000    0.000 parse.py:164(hostname)
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      953    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        6    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        3    0.000    0.000    0.132    0.044 connection.py:192(_new_conn)
      126    0.000    0.000    0.000    0.000 __init__.py:1068(handle_data)
        1    0.000    0.000    1.328    1.328 sessions.py:500(request)
       75    0.000    0.000    0.000    0.000 css_parser.py:542(parse_tag_pattern)
       54    0.000    0.000    0.000    0.000 _policybase.py:311(header_fetch_parse)
      218    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        4    0.000    0.000    0.000    0.000 response.py:105(decompress)
       55    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
      507    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.023    0.023 dammit.py:1(<module>)
