Exception 
         477470 function calls (453051 primitive calls) in 1.409 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 {function socket.close at 0x1012ccd60}
       28    0.000    0.000    0.000    0.000 ipaddress.py:1617(_ip_int_from_string)
      200    0.000    0.000    0.000    0.000 typing.py:723(<genexpr>)
       35    0.000    0.000    0.000    0.000 parse.py:164(hostname)
        3    0.000    0.000    0.000    0.000 connectionpool.py:175(__init__)
       31    0.000    0.000    0.000    0.000 cookiejar.py:1667(set_cookie)
       24    0.000    0.000    0.000    0.000 cookiejar.py:550(domain_match)
       60    0.000    0.000    0.001    0.000 typing.py:1458(copy_with)
      248    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
       65    0.000    0.000    0.000    0.000 __init__.py:909(_linkage_fixer)
       87    0.000    0.000    0.000    0.000 filter.py:539(matches_tag)
        3    0.000    0.000    0.101    0.034 socket.py:946(getaddrinfo)
       24    0.000    0.000    0.000    0.000 cookiejar.py:726(is_third_party)
        7    0.000    0.000    0.004    0.001 utils.py:755(should_bypass_proxies)
        3    0.000    0.000    0.000    0.000 _collections.py:335(extend)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
      250    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      265    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       54    0.000    0.000    0.000    0.000 _policybase.py:281(_sanitize_header)
      249    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
       38    0.000    0.000    0.000    0.000 parse.py:205(_hostinfo)
       21    0.000    0.000    0.000    0.000 typing.py:1096(_generic_init_subclass)
        2    0.000    0.000    0.003    0.001 request.py:1(<module>)
      288    0.000    0.000    0.000    0.000 typing.py:1565(__eq__)
       87    0.000    0.000    0.000    0.000 parser.py:345(check_for_whole_start_tag)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1209(_parse_octet)
      338    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
        1    0.000    0.000    0.027    0.027 css_parser.py:1(<module>)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
       34    0.000    0.000    0.000    0.000 _policybase.py:293(header_source_parse)
       24    0.000    0.000    0.000    0.000 util.py:16(lower)
        4    0.000    0.000    0.000    0.000 url.py:367(parse_url)
        3    0.000    0.000    0.000    0.000 models.py:658(__init__)
       52    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
        7    0.000    0.000    0.001    0.000 cookiejar.py:1272(_cookies_for_domain)
        3    0.000    0.000    0.001    0.000 adapters.py:336(build_response)
       30    0.000    0.000    0.000    0.000 connection.py:453(<genexpr>)
        3    0.000    0.000    0.000    0.000 response.py:602(__init__)
  142/137    0.000    0.000    0.000    0.000 css_parser.py:385(_freeze_relations)
      186    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
    81/55    0.000    0.000    0.000    0.000 typing.py:1573(__hash__)
